city,consultation_fee,degree,dp_score,location,name,npv,profile_url,scraped_at,speciality,year_of_experience
Mumbai,1500,MBBS,88.0,,Dr. Abhishek Shirkande,0,https://www.practo.com/mumbai/doctor/dr-abhishek-shirkande-nephrologist/recommended?practice_id=708747&specialization=Nephrologist&referrer=doctor_listing&page_uid=d776bff9-f6ae-47c1-80c8-ba6f24e2340c,2025-08-17T03:30:23.684062,Nephrologist,
Mumbai,1500,MBBS,88.0,Chembur,Dr. Abhishek Shirkande,0,https://www.practo.com/mumbai/doctor/dr-abhishek-shirkande-nephrologist?practice_id=708747&specialization=Nephrologist&referrer=doctor_listing&page_uid=d776bff9-f6ae-47c1-80c8-ba6f24e2340c,2025-08-17T03:30:26.504538,Nephrologist,
Mumbai,2000,DNB,94.0,,Dr. Sandip Bhurke,0,https://www.practo.com/mumbai/doctor/dr-sandip-bhurke-nephrologist/recommended?practice_id=2070167&specialization=Nephrologist&referrer=doctor_listing&page_uid=d776bff9-f6ae-47c1-80c8-ba6f24e2340c,2025-08-17T03:30:29.657996,Nephrologist,
Mumbai,2000,DNB,94.0,Dahisar East,Dr. Sandip Bhurke,0,https://www.practo.com/mumbai/doctor/dr-sandip-bhurke-nephrologist?practice_id=2070167&specialization=Nephrologist&referrer=doctor_listing&page_uid=d776bff9-f6ae-47c1-80c8-ba6f24e2340c,2025-08-17T03:30:32.584972,Nephrologist,
Mumbai,1500,MBBS,,,Dr. Chandan Chaudhari,,https://www.practo.com/mumbai/doctor/dr-chandan-chaudari-nephrologist/recommended?practice_id=1235891&specialization=Nephrologist&referrer=doctor_listing&page_uid=d776bff9-f6ae-47c1-80c8-ba6f24e2340c,2025-08-17T03:30:35.439038,Nephrologist,
Mumbai,1500,MBBS,,Mumbai Central,Dr. Chandan Chaudhari,,https://www.practo.com/mumbai/doctor/dr-chandan-chaudari-nephrologist?practice_id=1235891&specialization=Nephrologist&referrer=doctor_listing&page_uid=d776bff9-f6ae-47c1-80c8-ba6f24e2340c,2025-08-17T03:30:38.439506,Nephrologist,
Mumbai,2000,MBBS,,,Dr. Akash J Ranka,,https://www.practo.com/mumbai/doctor/dr-akash-j-ranka-nephrologist/recommended?practice_id=1578864&specialization=Nephrologist&referrer=doctor_listing&page_uid=d776bff9-f6ae-47c1-80c8-ba6f24e2340c,2025-08-17T03:30:41.434569,Nephrologist,
Mumbai,2000,MBBS,,Bhandup West,Dr. Akash J Ranka,,https://www.practo.com/mumbai/doctor/dr-akash-j-ranka-nephrologist?practice_id=1578864&specialization=Nephrologist&referrer=doctor_listing&page_uid=d776bff9-f6ae-47c1-80c8-ba6f24e2340c,2025-08-17T03:30:44.425259,Nephrologist,
Mumbai,2000,MBBS,,,Dr. Nikhil Bhasin,,https://www.practo.com/mumbai/doctor/nikhil-bhasin-nephrologist/recommended?practice_id=1235891&specialization=Nephrologist&referrer=doctor_listing&page_uid=d776bff9-f6ae-47c1-80c8-ba6f24e2340c,2025-08-17T03:30:47.661168,Nephrologist,
Mumbai,2000,MBBS,,Mumbai Central,Dr. Nikhil Bhasin,,https://www.practo.com/mumbai/doctor/nikhil-bhasin-nephrologist?practice_id=1235891&specialization=Nephrologist&referrer=doctor_listing&page_uid=d776bff9-f6ae-47c1-80c8-ba6f24e2340c,2025-08-17T03:30:50.488558,Nephrologist,
Mumbai,2000,MBBS,92.0,,Dr. Siddharth Vinod Lakhani,0,https://www.practo.com/mumbai/doctor/siddharth-vinod-lakhani-nephrologist/recommended?practice_id=1275770&specialization=Nephrologist&referrer=doctor_listing&page_uid=d776bff9-f6ae-47c1-80c8-ba6f24e2340c,2025-08-17T03:30:53.644532,Nephrologist,
Mumbai,2000,MBBS,92.0,Chembur,Dr. Siddharth Vinod Lakhani,0,https://www.practo.com/mumbai/doctor/siddharth-vinod-lakhani-nephrologist?practice_id=1275770&specialization=Nephrologist&referrer=doctor_listing&page_uid=d776bff9-f6ae-47c1-80c8-ba6f24e2340c,2025-08-17T03:30:56.789730,Nephrologist,
Mumbai,2000,MBBS,97.0,,Dr. Sweta Budyal,0,https://www.practo.com/mumbai/doctor/sweta-budyal-endocrinologist/recommended?practice_id=809303&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:30:59.868888,Endocrinologist,
Mumbai,2000,MBBS,97.0,Mulund West,Dr. Sweta Budyal,0,https://www.practo.com/mumbai/doctor/sweta-budyal-endocrinologist?practice_id=809303&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:02.797097,Endocrinologist,
Mumbai,300,,87.0,,Dr. Altamash Shaikh,0,https://www.practo.com/mumbai/doctor/dr-altamash-shaikh-1-diabetologist/recommended?practice_id=724647&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:05.577242,Endocrinologist,
Mumbai,300,,87.0,Byculla,Dr. Altamash Shaikh,0,https://www.practo.com/mumbai/doctor/dr-altamash-shaikh-1-diabetologist?practice_id=724647&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:09.800791,Endocrinologist,
Mumbai,2000,MBBS,,Goregaon,Dr. Trupti Prasad,,https://www.practo.com/mumbai/doctor/trupti-prasad-endocrinologist?practice_id=1600626&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:14.276874,Endocrinologist,
Mumbai,1500,MBBS,,Chembur East,Dr. Rohit Barnabas,,https://www.practo.com/mumbai/doctor/rohit-barnabas-endocrinologist?practice_id=611951&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:15.836189,Endocrinologist,
Mumbai,2000,MBBS,100.0,,Dr. Manishi Nautiyal,0,https://www.practo.com/mumbai/doctor/dr-manishi-nautiyal-endocrinologist/recommended?practice_id=692922&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:19.084762,Endocrinologist,
